Database,Acc_number,Suffix,MMC_ID,Name,Restrand_Occurrence_num,Age_Class,Sex,Common_Name,Genus,Species,Strand_Date,Stranding_County,Stranding_City,Stranding_Locality,Stranding_Details,Latitude,Longitude,Admit_Date,Admit_Weight_kg,Admit_Length_cm,Disposition_Date,Disposition,Dispo_Weight_kg,Dispo_Length_cm,CODeath_List,Diagnosis_List
Lloyd,12170,,CSL-12170,Oreto,,Adult,Female,California Sea Lion,Zalophus,californianus,03/31/2015,Monterey,Monterey,Houghton Roberts Beach,,36.6109,-121.8600,03/31/2015,72,168,04/01/2015,died in treatment,72,168,"domoic acid toxicity, bronchitis, pneumonia","bronchitis, domoic acid toxicity , pneumonia"
Lloyd,12177,,CSL-12177,Honey Bun,,Subadult,Female,California Sea Lion,Zalophus,californianus,03/31/2015,Santa Barbara,Santa Barbara,,Sandpiper,34.4295,-119.5755,04/01/2015,24.5,116,04/03/2015,euthanasia,24.5,116,"euthanasia, domoic acid toxicity (chronic)",malnutrition
Lloyd,12214,,CSL-12214,Carrotcake,,Yearling,Female,California Sea Lion,Zalophus,californianus,04/03/2015,San Luis Obispo,Morro Bay,Morro Rock and Beach,at circle benches near restrooms,35.3720,-120.8610,04/03/2015,28.5,,04/27/2015,euthanasia,,114,"euthanasia, domoic acid toxicity (chronic), pneumonia","malnutrition, pneumonia"
Lloyd,12215,,CSL-12215,Quackers,,Adult,Female,California Sea Lion,Zalophus,californianus,04/03/2015,Monterey,Moss Landing,Moss Landing State Beach,100 yards North of the jetty ,36.8192,-121.7946,04/03/2015,66,168,04/06/2015,euthanasia,64,182,"euthanasia, domoic acid toxicity (chronic)","malnutrition, domoic acid toxicity (chronic)"
Lloyd,12217,,CSL-12217,Bills Buddy,,Adult,Female,California Sea Lion,Zalophus,californianus,04/04/2015,San Francisco,Daly City,Fort Funston,half mile north of entrance,37.7209,-122.5056,04/04/2015,55,150,04/04/2015,euthanasia,55,150,"euthanasia, domoic acid toxicity (chronic)",domoic acid toxicity (chronic)
Lloyd,12268,,CSL-12268,Jewel,,Subadult,Female,California Sea Lion,Zalophus,californianus,04/11/2015,Monterey,Monterey,Monterey Harbor,,36.6039,-121.8934,04/11/2015,40.5,137,04/13/2015,euthanasia,40.5,137,"euthanasia, fisheries interaction, domoic acid toxicity (chronic)","fisheries interaction, malnutrition"
Lloyd,12277,,CSL-12277,Ricky Bobby,,Juvenile,Male,California Sea Lion,Zalophus,californianus,04/12/2015,Monterey,Monterey,Monterey Harbor,"Scuba Diver's enterprise, Cannery Row, San Carolos Beach",36.6039,-121.8934,04/12/2015,30,134,04/12/2015,died in treatment,30,134,domoic acid toxicity (acute),domoic acid toxicity (acute)
Lloyd,12307,,CSL-12307,Ryan's Dream,,Adult,Female,California Sea Lion,Zalophus,californianus,04/18/2015,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,,35.1090,-120.6370,04/18/2015,52.5,152,04/19/2015,euthanasia,52.5,152,"euthanasia, domoic acid toxicity (chronic)",domoic acid toxicity (chronic)
Lloyd,12311,,CSL-12311,Moonstar,,Adult,Female,California Sea Lion,Zalophus,californianus,04/18/2015,San Luis Obispo,Pismo,Pismo Beach Pier,Right under pier,35.1394,-120.6448,04/18/2015,60,167,04/19/2015,euthanasia,60,167,"euthanasia, domoic acid toxicity (chronic)","domoic acid toxicity (chronic), malnutrition"
Lloyd,12314,,CSL-12314,Irisette,,Yearling,Female,California Sea Lion,Zalophus,californianus,04/19/2015,Monterey,Moss Landing,Salinas River State Beach,200 ft north of beach entrance,36.7890,-121.7943,04/19/2015,20.5,,04/29/2015,euthanasia,17.5,108,"euthanasia, domoic acid toxicity (chronic), malnutrition",malnutrition
Lloyd,12316,,CSL-12316,Hugo,,Adult,Female,California Sea Lion,Zalophus,californianus,04/20/2015,Monterey,Pacific Grove,Perkins Park,707 ocean view blvd,36.6340,-121.9180,04/20/2015,38,145,04/21/2015,died in treatment,38,145,"domoic acid toxicity (chronic), pneumonia","domoic acid toxicity (chronic), pneumonia"
Lloyd,12327,,CSL-12327,Cheli,,Juvenile,Male,California Sea Lion,Zalophus,californianus,04/20/2015,Santa Cruz,Santa Cruz,Long Marine Lab,,36.9489,-122.0632,04/20/2015,45.5,141,04/21/2015,euthanasia,45.5,141,"euthanasia, domoic acid toxicity (chronic), fisheries interaction","entanglement, malnutrition"
Lloyd,12345,,CSL-12345,Lottery,,Adult,Female,California Sea Lion,Zalophus,californianus,04/23/2015,San Mateo,Princeton-by-the-Sea,Pillar Point Harbor,"Mavericks beach, at end of walking trail and at end of jetty to the right on beach",37.4955,-122.4965,04/23/2015,64,162,04/26/2015,died in treatment,63.5,162,domoic acid toxicity (chronic),"domoic acid toxicity (chronic), oil"
Lloyd,12346,,CSL-12346,DOA,,Adult,Female,California Sea Lion,Zalophus,californianus,04/23/2015,San Luis Obispo,Oceano,Oceano Dunes (Between Post 6 & 7),left 0.5 miles from pismo beach pier,35.0530,-120.6380,04/23/2015,53.5,147,04/23/2015,DOA,53.5,147,domoic acid toxicity (chronic),domoic acid toxicity (chronic)
Lloyd,12349,,CSL-12349,Kamea,,Adult,Female,California Sea Lion,Zalophus,californianus,04/23/2015,Monterey,Moss Landing,Jetty Road,,36.8095,-121.7877,04/24/2015,83.5,163,04/24/2015,died in treatment,83.5,163,domoic acid toxicity (acute),domoic acid toxicity (acute)
